Category Name,Name,Gross Sales,Sold,year
Rice,C3. Con Chien Duong Chau,3543.15,237.0,2023
Rice,C2. Com Ga Nuong,3388.5,251.0,2023
Appetizer,A2. Goi Cuon,6634.25,1115.0,2023
Appetizer,A1. Cha Gio,5103.45,1031.0,2023
Appetizer,A6. Grilled Pork Banh Mi,4380.45,551.0,2023
Appetizer,Canh Ga Chien Nuoc Mam,1463.35,113.0,2023
Appetizer,A3. Goi Cuon Chay,1054.35,213.0,2023
Appetizer,A4.  Banh Mi Bo Kho,815.9,82.0,2023
Appetizer,Side Of Pho Broth,141.5,49.0,2023
Noodle Soup,K3. Bun Bo Hue,10114.0,614.0,2023
Noodle Soup,K1. Hu Tieu Bo Kho,4703.5,295.0,2023
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,6688.0,418.0,2023
Bun/ Vermicelli,B2. Bun Thit Nuong,2322.0,172.0,2023
Bun/ Vermicelli,B6. Bun Ga Nuong,1849.5,137.0,2023
Bun/ Vermicelli,B5. Bun Chay,1254.75,105.0,2023
Bun/ Vermicelli,B3. Bun Tom Nuong,1120.5,83.0,2023
Bun/ Vermicelli,B4. Bun Cha Gio,243.0,18.0,2023
Stir Fry,S3. Hu Tieu Xao,5803.5,410.0,2023
Stir Fry,S2. Rao Cai Xao,2423.55,169.0,2023
Stir Fry,S1. Ga Xao Xa Ot,1339.2,96.0,2023
Pho,P1. Pho Dac Biet,11726.5,819.0,2024
Pho,P4. Pho Tai,7799.5,549.0,2024
Pho,P14. Pho Ga,5615.5,397.0,2024
Pho,P5. Pho Chin,3096.5,219.0,2024
Pho,P6. Pho Chin Nam Gau,2952.0,208.0,2024
Pho,P2. Pho Tai Nam Gau,2858.0,200.0,2024
Pho,P10. Pho Tai Gau,2247.0,158.0,2024
Pho,P12. Pho Tai Bo Vien,1936.5,135.0,2024
Pho,P13. Pho Bo Vien,1099.25,98.0,2024
Pho,P7. Pho Chin Nam Gan,670.5,47.0,2024
Pho,P3. Pho Tai Nam Gan,605.0,42.0,2024
Pho,P9. Pho Tai Nam,471.5,33.0,2024
Pho,P11. Pho Tai Sach,330.0,24.0,2024
Pho,P8. Pho Tai Gan,311.0,22.0,2024
Rice,C1. Com Thit Nuong Trung Op La,5629.5,417.0,2024
Rice,C4. Com Chien,2464.4,172.0,2024
Rice,C2. Com Ga Nuong,2038.5,151.0,2024
